"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861064504198733956","Mon Nov 25 15:08:49 +0000 2024","2","Selamat hari guru jg buat calon guru yang capek bgt ma kurikulum (tidak) merdeka ini https://t.co/boNsgnKm0E","1861064504198733956","https://pbs.twimg.com/media/GdPUTZGbgAAuDg5.jpg","","in","Bandung - Yogyakarta","0","1","0","https://x.com/lilibraryie/status/1861064504198733956","1784609714929856512","lilibraryie"
"1860917581835841591","Mon Nov 25 15:03:22 +0000 2024","0","@mediaindonesia Bukannya kurikulum merdeka mau diganti buu?","1861063135144374352","","mediaindonesia","in","","0","0","0","https://x.com/rebo_kliwon/status/1861063135144374352","1603629337458413568","rebo_kliwon"
"1860633385674346903","Mon Nov 25 14:01:31 +0000 2024","0","@syahrindraaa @GhibahNaqMetal For Kurikulum Merdeka","1861047568953975213","","syahrindraaa","in","Central Java, Indonesia","0","0","0","https://x.com/wisnusapto01/status/1861047568953975213","1035545282610515969","wisnusapto01"
"1861042123367502199","Mon Nov 25 13:39:53 +0000 2024","0","Modul ajar ‍‍‍ Duhhh siapa yang udah dah pernah bikin modul ajar kurikulum merdeka aku ingin meminta saran https://t.co/6aNtXGZ9bv","1861042123367502199","https://pbs.twimg.com/media/GdO_8sXbkAAxwlq.jpg","","in","","0","0","0","https://x.com/gyumingyuuuuuu/status/1861042123367502199","1838552540071497731","gyumingyuuuuuu"
"1861038669848805538","Mon Nov 25 13:26:09 +0000 2024","0","Guru yang baik adalah guru yang merdeka dari kurikulum bukan dari kurikulum merdeka","1861038669848805538","","","in","","0","0","0","https://x.com/systematichaos_/status/1861038669848805538","1692219198691504128","systematichaos_"
"1861033975265038568","Mon Nov 25 13:07:30 +0000 2024","0","30 Soal PAS Bahasa Indonesia Kelas 3 Semester 1 Kurikulum Merdeka dan Kunci Jawaban SAS https://t.co/shiS45u1hO via @tribunnews","1861033975265038568","","","in","","0","0","0","https://x.com/Agusgus344705/status/1861033975265038568","1849493020703588359","Agusgus344705"
"1860976189994844463","Mon Nov 25 11:25:31 +0000 2024","0","@txtdrbahasa Bukan kurikulum merdeka nih","1861008310457287098","","txtdrbahasa","in","Kota Semarang, Jawa Tengah","0","0","0","https://x.com/KreakSemarang/status/1861008310457287098","1299215871366189056","KreakSemarang"
"1860986886954930503","Mon Nov 25 10:57:35 +0000 2024","0","@n4jaemin kurikulum merdeka bukannya merdeka malah bikin cape mampus anjirtt blm lgi tugas² P5","1861001281441349732","","n4jaemin","in","rockfullsun","0","0","0","https://x.com/ikonypncfc/status/1861001281441349732","1261059018442731520","ikonypncfc"
"1860986886954930503","Mon Nov 25 10:55:22 +0000 2024","0","@ikonypncfc iyaaa soalnya angkatan sekolahku pake kurikulum merdeka yg nyebelin mampusss jd masa percobaan bgtt","1861000720692248708","","ikonypncfc","in","⠀⠀homophobic dni⠀⠀﹛✰﹜⠀⠀","0","1","0","https://x.com/n4jaemin/status/1861000720692248708","1853015394191298561","n4jaemin"
"1860987009785037092","Mon Nov 25 10:00:54 +0000 2024","0","Tulisan ini merupakan refleksi atas pelaksanaan Kurikulum Merdeka dalam momentum bulan bahasa. Keresahan guru Bahasa Sunda menghadapi transisi pemerintahan baru. https://t.co/xtloMhLYrb","1860987016743375089","","BdgBergerakID","in","Bandung","0","1","0","https://x.com/BdgBergerakID/status/1860987016743375089","1493801169075855365","BdgBergerakID"
"1860985945279115636","Mon Nov 25 09:56:39 +0000 2024","1","duh gue adalah haters no 1 kurikulum merdeka ️️ apanya yg merdeka sih ️️️️️ sori","1860985945279115636","","","in","","0","0","0","https://x.com/rahaszianegara/status/1860985945279115636","1567431521220567041","rahaszianegara"
"1860970247232344485","Mon Nov 25 09:32:47 +0000 2024","0","@salvationnj projek penguatan profil pelajar pancasila programnya kurikulum merdeka","1860979939920744808","","salvationnj","in","A Life After Philos's Death","0","2","0","https://x.com/cravenfjs/status/1860979939920744808","1810975964761051138","cravenfjs"
"1860811671591334107","Mon Nov 25 07:42:26 +0000 2024","2","@salsatrash Cireng bukan sembarang cireng pas di buka isinya kurikulum merdeka","1860952170537038107","","salsatrash","in","Malang, Jawa Timur","0","1","0","https://x.com/JuniJuni57488/status/1860952170537038107","1851429785878315008","JuniJuni57488"
"1860933145979470140","Mon Nov 25 06:26:53 +0000 2024","0","Dari kritik tajam soal Kurikulum Merdeka hingga penghapusan Ujian Nasional diskusi ini mengupas berbagai persoalan yang belum tuntas. Simak rangkuman lengkapnya dalam postingan ini! #nadiemmakarim #menteripendidikan #merdekabelajar #mentericeo #pendidikangratis #pendidikan https://t.co/xWiUZjDNLF","1860933154128929045","https://pbs.twimg.com/media/GdNc1zobEAAhIdP.jpg","semutapi_media","in","","0","0","0","https://x.com/semutapi_media/status/1860933154128929045","1431123866164731907","semutapi_media"
"1860928860969423148","Mon Nov 25 06:09:49 +0000 2024","0","REVIEW KEGAGALAN KURIKULUM MERDEKA DAN HARAPAN DI ERA MENTERI PENDIDIKAN BARU Instagram: https://t.co/MDajt3hcj2 Website: https://t.co/u8bxrzpwiD Facebook: https://t.co/vqC6j7kYfz","1860928860969423148","","","in","Karawang, Indonesia ","0","0","0","https://x.com/LPMUNSIKA/status/1860928860969423148","381936548","LPMUNSIKA"
"1860694282497396783","Mon Nov 25 05:56:06 +0000 2024","0","@ilhampurnama887 Kurikulum Merdeka TOA dipake. Bebas sakarepe teriak-teriak pake TOA untuk belajar membaca koar-koar nyanyi dengan suara cemoreng dan propganda. Merdeka dunia dapat subsidi dari pejabat korup dan garansi masuk surga.","1860925407668932666","","Kiamat_Change","in","Earth","0","0","0","https://x.com/Kiamat_Change/status/1860925407668932666","1534520507982561280","Kiamat_Change"
"1860834003542216759","Mon Nov 25 05:55:57 +0000 2024","0","@kegblgnunfaedh katanya kurikulum merdeka. tp kok protes gak boleh.","1860925370859671813","","kegblgnunfaedh","in","Indonesia","0","0","0","https://x.com/kbasatria/status/1860925370859671813","1564066112027107329","kbasatria"
"1860917581835841591","Mon Nov 25 05:25:00 +0000 2024","4","Wakil Menteri Pemberdayaan Perempuan dan Perlindungan Anak (PPPA) Veronica Tan menekankan pentingnya perubahan paradigma dalam pendidikan anak usia dini (PAUD) melalui Kurikulum Merdeka. https://t.co/eRz4KOn90n","1860917581835841591","","","in","Jakarta - Indonesia","0","1","1","https://x.com/mediaindonesia/status/1860917581835841591","68930552","mediaindonesia"
"1860911630558925143","Mon Nov 25 05:01:21 +0000 2024","0","Kurikulum Merdeka: Lanjut Atau Dikandangkan? https://t.co/wozHK3JO3f https://t.co/fyY8otfMjl","1860911630558925143","https://pbs.twimg.com/media/GdNJRB-aUAA_WpF.jpg","","in","Medan Maimun, Indonesia","0","0","0","https://x.com/waspadadotid/status/1860911630558925143","1771930874235478016","waspadadotid"
"1860900018275918050","Mon Nov 25 04:15:12 +0000 2024","0","Selamat gen Z literasi.. Jangan kek kami enggak jelas jaman kapan enggak jelas kehidupan. Kan enak pake kurikulum Merdeka bukan cekcok KTSP apa 13 apa NIM apa Zonasi","1860900018275918050","","","in","Indonesia","0","1","0","https://x.com/oklini63788/status/1860900018275918050","1832960783229362176","oklini63788"
